frame,D_arcmin,moon_center_x_arcmin,sun_offset_arcmin,sun_peek_arcmin,phase
349,58.3287,58.3287,58.3287,17.2914,egress
350,58.4958,58.4958,58.4958,17.4586,egress
351,58.6630,58.6630,58.6630,17.6257,egress
352,58.8301,58.8301,58.8301,17.7928,egress
353,58.9972,58.9972,58.9972,17.9600,egress
354,59.1643,59.1643,59.1643,18.1271,egress
355,59.3315,59.3315,59.3315,18.2942,egress
356,59.4986,59.4986,59.4986,18.4614,egress
357,59.6657,59.6657,59.6657,18.6285,egress
358,59.8329,59.8329,59.8329,18.7956,egress
359,60.0000,60.0000,60.0000,18.9628,egress
