tangent_height_km,R_lin,G_lin,B_lin
9.9217,9.855951e-02,3.902874e-02,7.518771e-03
9.9804,9.906184e-02,3.969496e-02,7.897937e-03
10.0391,9.954250e-02,4.036054e-02,8.287915e-03
10.0978,1.000132e-01,4.103048e-02,8.689501e-03
10.1566,1.004843e-01,4.170922e-02,9.103448e-03
10.2153,1.009560e-01,4.239906e-02,9.533225e-03
10.2740,1.014284e-01,4.309932e-02,9.978096e-03
10.3327,1.019015e-01,4.380875e-02,1.043647e-02
10.3914,1.023753e-01,4.452747e-02,1.090861e-02
10.4501,1.028502e-01,4.525586e-02,1.139516e-02
10.5088,1.033266e-01,4.599746e-02,1.190160e-02
10.5675,1.038043e-01,4.674885e-02,1.242308e-02
10.6262,1.042837e-01,4.751028e-02,1.295990e-02
10.6849,1.047649e-01,4.828194e-02,1.351240e-02
10.7436,1.052488e-01,4.906614e-02,1.408418e-02
10.8023,1.057362e-01,4.986349e-02,1.467596e-02
10.8611,1.062275e-01,5.067245e-02,1.528506e-02
10.9198,1.067240e-01,5.149382e-02,1.591204e-02
10.9785,1.072273e-01,5.232861e-02,1.655753e-02
11.0372,1.077481e-01,5.318688e-02,1.723082e-02
11.0959,1.082693e-01,5.405530e-02,1.792296e-02
11.1546,1.087895e-01,5.493279e-02,1.863346e-02
11.2133,1.093079e-01,5.581883e-02,1.936237e-02
11.2720,1.098242e-01,5.671460e-02,2.011266e-02
11.3307,1.103385e-01,5.762078e-02,2.088647e-02
11.3894,1.108512e-01,5.853525e-02,2.167943e-02
11.4481,1.113625e-01,5.945792e-02,2.249168e-02
11.5068,1.118723e-01,6.038871e-02,2.332329e-02
11.5656,1.123805e-01,6.133000e-02,2.418059e-02
11.6243,1.128878e-01,6.227965e-02,2.505885e-02
11.6830,1.133944e-01,6.323698e-02,2.595660e-02
11.7417,1.139008e-01,6.420185e-02,2.687373e-02
11.8004,1.144073e-01,6.517477e-02,2.781192e-02
11.8591,1.149153e-01,6.615682e-02,2.877410e-02
11.9178,1.154264e-01,6.714561e-02,2.975358e-02
11.9765,1.159447e-01,6.814076e-02,3.074763e-02
12.0352,1.164727e-01,6.914195e-02,3.175441e-02
12.0939,1.170025e-01,7.015093e-02,3.278357e-02
12.1526,1.175257e-01,7.116701e-02,3.383789e-02
12.2114,1.180428e-01,7.218911e-02,3.491479e-02
12.2701,1.185535e-01,7.321701e-02,3.601440e-02
12.3288,1.190575e-01,7.425082e-02,3.713797e-02
12.3875,1.195520e-01,7.529148e-02,3.829235e-02
12.4462,1.200393e-01,7.633682e-02,3.946976e-02
12.5049,1.205191e-01,7.738649e-02,4.067018e-02
12.5636,1.209910e-01,7.844015e-02,4.189359e-02
12.6223,1.214527e-01,7.949791e-02,4.314491e-02
12.6810,1.219038e-01,8.055874e-02,4.442270e-02
12.7397,1.223454e-01,8.162135e-02,4.572270e-02
12.7984,1.227766e-01,8.268496e-02,4.704447e-02
12.8571,1.231967e-01,8.374876e-02,4.838751e-02
12.9159,1.235986e-01,8.480962e-02,4.975790e-02
12.9746,1.239812e-01,8.586209e-02,5.114296e-02
13.0333,1.243448e-01,8.690606e-02,5.254246e-02
13.0920,1.246927e-01,8.794441e-02,5.395862e-02
13.1507,1.250354e-01,8.898830e-02,5.540403e-02
13.2094,1.253727e-01,9.003766e-02,5.688002e-02
13.2681,1.257053e-01,9.109120e-02,5.838110e-02
13.3268,1.260332e-01,9.214871e-02,5.990724e-02
13.3855,1.263564e-01,9.321002e-02,6.145841e-02
13.4442,1.266731e-01,9.427587e-02,6.304300e-02
13.5029,1.269844e-01,9.534473e-02,6.465347e-02
13.5616,1.272906e-01,9.641620e-02,6.628840e-02
13.6204,1.275915e-01,9.748994e-02,6.794750e-02
13.6791,1.278862e-01,9.856563e-02,6.963327e-02
13.7378,1.281738e-01,9.964267e-02,7.134821e-02
13.7965,1.284554e-01,1.007199e-01,7.308517e-02
13.8552,1.287307e-01,1.017965e-01,7.484305e-02
13.9139,1.289993e-01,1.028714e-01,7.662042e-02
13.9726,1.292579e-01,1.039408e-01,7.841822e-02
14.0313,1.295060e-01,1.049998e-01,8.022419e-02
14.0900,1.297477e-01,1.060572e-01,8.204964e-02
14.1487,1.299847e-01,1.071164e-01,8.390002e-02
14.2074,1.302169e-01,1.081782e-01,8.577822e-02
14.2661,1.304429e-01,1.092427e-01,8.769040e-02
14.3249,1.306640e-01,1.103087e-01,8.962809e-02
14.3836,1.308800e-01,1.113760e-01,9.159110e-02
14.4423,1.310907e-01,1.124443e-01,9.357925e-02
14.5010,1.312949e-01,1.135132e-01,9.559821e-02
14.5597,1.314923e-01,1.145821e-01,9.764485e-02
14.6184,1.316835e-01,1.156502e-01,9.971508e-02
14.6771,1.318684e-01,1.167171e-01,1.018084e-01
14.7358,1.320463e-01,1.177822e-01,1.039246e-01
14.7945,1.322136e-01,1.188431e-01,1.060694e-01
14.8532,1.323721e-01,1.198993e-01,1.082331e-01
14.9119,1.325202e-01,1.209487e-01,1.104135e-01
14.9706,1.326553e-01,1.219882e-01,1.126065e-01
15.0294,1.327665e-01,1.230063e-01,1.148035e-01
15.0881,1.328692e-01,1.240192e-01,1.170219e-01
15.1468,1.329694e-01,1.250327e-01,1.192640e-01
15.2055,1.330681e-01,1.260479e-01,1.215311e-01
15.2642,1.331655e-01,1.270647e-01,1.238228e-01
15.3229,1.332607e-01,1.280832e-01,1.261476e-01
15.3816,1.333542e-01,1.291025e-01,1.284969e-01
15.4403,1.334459e-01,1.301224e-01,1.308695e-01
15.4990,1.335358e-01,1.311426e-01,1.332652e-01
15.5577,1.336234e-01,1.321627e-01,1.356864e-01
15.6164,1.337080e-01,1.331818e-01,1.381344e-01
15.6751,1.337899e-01,1.341995e-01,1.406029e-01
15.7339,1.338688e-01,1.352152e-01,1.430908e-01
15.7926,1.339443e-01,1.362283e-01,1.455972e-01
15.8513,1.340137e-01,1.372359e-01,1.481252e-01
15.9100,1.340765e-01,1.382364e-01,1.506670e-01
15.9687,1.341280e-01,1.392244e-01,1.532138e-01
16.0274,1.341673e-01,1.401986e-01,1.557636e-01
16.0861,1.341968e-01,1.411611e-01,1.583201e-01
16.1448,1.342315e-01,1.421282e-01,1.609061e-01
16.2035,1.342704e-01,1.430987e-01,1.635146e-01
16.2622,1.343134e-01,1.440725e-01,1.661453e-01
16.3209,1.343607e-01,1.450495e-01,1.687977e-01
16.3796,1.344137e-01,1.460306e-01,1.714771e-01
16.4384,1.344719e-01,1.470151e-01,1.741796e-01
16.4971,1.345349e-01,1.480025e-01,1.769018e-01
16.5558,1.346029e-01,1.489927e-01,1.796433e-01
16.6145,1.346761e-01,1.499856e-01,1.824044e-01
