arcmin_from_umbra_center,R_lin,G_lin,B_lin,Y_luminance
18.3170,2.454726e-04,2.759912e-05,0.000000e+00,7.153180e-05
18.4344,2.461576e-04,2.789349e-05,0.000000e+00,7.188747e-05
18.5519,2.468564e-04,2.819203e-05,0.000000e+00,7.224906e-05
18.6693,2.475699e-04,2.849501e-05,0.000000e+00,7.261697e-05
18.7867,2.482965e-04,2.880209e-05,0.000000e+00,7.299059e-05
18.9041,2.490383e-04,2.911389e-05,0.000000e+00,7.337084e-05
19.0215,2.497928e-04,2.942979e-05,0.000000e+00,7.375672e-05
19.1389,2.505617e-04,2.975033e-05,0.000000e+00,7.414898e-05
19.2564,2.513433e-04,3.007511e-05,0.000000e+00,7.454701e-05
19.3738,2.521383e-04,3.040439e-05,0.000000e+00,7.495113e-05
19.4912,2.529451e-04,3.073777e-05,0.000000e+00,7.536069e-05
19.6086,2.537624e-04,3.107494e-05,0.000000e+00,7.577522e-05
19.7260,2.545929e-04,3.141672e-05,0.000000e+00,7.619588e-05
19.8434,2.554386e-04,3.176376e-05,0.000000e+00,7.662353e-05
19.9609,2.562988e-04,3.211595e-05,0.000000e+00,7.705798e-05
20.0783,2.571745e-04,3.247362e-05,0.000000e+00,7.749966e-05
20.1957,2.580643e-04,3.283650e-05,0.000000e+00,7.794810e-05
20.3131,2.589700e-04,3.320511e-05,0.000000e+00,7.840402e-05
20.4305,2.598896e-04,3.357902e-05,0.000000e+00,7.886675e-05
20.5479,2.608252e-04,3.395887e-05,0.000000e+00,7.933711e-05
20.6654,2.617751e-04,3.434426e-05,0.000000e+00,7.981452e-05
20.7828,2.627401e-04,3.473554e-05,0.000000e+00,8.029938e-05
20.9002,2.637201e-04,3.513274e-05,0.000000e+00,8.079171e-05
21.0176,2.647147e-04,3.553579e-05,0.000000e+00,8.129135e-05
21.1350,2.657248e-04,3.594512e-05,0.000000e+00,8.179881e-05
21.2524,2.667494e-04,3.636044e-05,0.000000e+00,8.231368e-05
21.3699,2.677892e-04,3.678211e-05,0.000000e+00,8.283635e-05
21.4873,2.688442e-04,3.721013e-05,0.000000e+00,8.336683e-05
21.6047,2.699134e-04,3.764437e-05,0.000000e+00,8.390484e-05
21.7221,2.709983e-04,3.808540e-05,0.000000e+00,8.445108e-05
21.8395,2.720982e-04,3.853296e-05,0.000000e+00,8.500523e-05
21.9569,2.732121e-04,3.898697e-05,0.000000e+00,8.556700e-05
22.0744,2.743421e-04,3.944813e-05,0.000000e+00,8.613738e-05
22.1918,2.754865e-04,3.991601e-05,0.000000e+00,8.671569e-05
22.3092,2.766452e-04,4.039066e-05,0.000000e+00,8.730191e-05
22.4266,2.778200e-04,4.087270e-05,0.000000e+00,8.789692e-05
22.5440,2.790089e-04,4.136174e-05,0.000000e+00,8.849998e-05
22.6614,2.802122e-04,4.185786e-05,0.000000e+00,8.911124e-05
22.7789,2.814308e-04,4.236139e-05,0.000000e+00,8.973111e-05
22.8963,2.826637e-04,4.287235e-05,0.000000e+00,9.035942e-05
23.0137,2.839111e-04,4.339070e-05,0.000000e+00,9.099617e-05
23.1311,2.851728e-04,4.391652e-05,0.000000e+00,9.164137e-05
23.2485,2.864486e-04,4.444990e-05,0.000000e+00,9.229504e-05
23.3659,2.877384e-04,4.499098e-05,0.000000e+00,9.295730e-05
23.4834,2.890416e-04,4.553960e-05,0.000000e+00,9.362788e-05
23.6008,2.903581e-04,4.609581e-05,0.000000e+00,9.430679e-05
23.7182,2.916867e-04,4.665944e-05,0.000000e+00,9.499369e-05
23.8356,2.930265e-04,4.723042e-05,0.000000e+00,9.568832e-05
23.9530,2.943743e-04,4.780787e-05,0.000000e+00,9.638938e-05
24.0705,2.957267e-04,4.839094e-05,0.000000e+00,9.709557e-05
24.1879,2.970956e-04,4.898301e-05,0.000000e+00,9.781179e-05
24.3053,2.984823e-04,4.958449e-05,0.000000e+00,9.853861e-05
24.4227,2.998864e-04,5.019548e-05,0.000000e+00,9.927607e-05
24.5401,3.013083e-04,5.081622e-05,0.000000e+00,1.000244e-04
24.6575,3.027478e-04,5.144689e-05,0.000000e+00,1.007837e-04
24.7750,3.042058e-04,5.208768e-05,0.000000e+00,1.015543e-04
24.8924,3.056813e-04,5.273858e-05,0.000000e+00,1.023359e-04
25.0098,3.071748e-04,5.339986e-05,0.000000e+00,1.031290e-04
25.1272,3.086867e-04,5.407170e-05,0.000000e+00,1.039336e-04
25.2446,3.102166e-04,5.475423e-05,0.000000e+00,1.047499e-04
25.3620,3.117650e-04,5.544768e-05,0.000000e+00,1.055780e-04
25.4795,3.133314e-04,5.615216e-05,0.000000e+00,1.064180e-04
25.5969,3.149166e-04,5.686794e-05,0.000000e+00,1.072703e-04
25.7143,3.165201e-04,5.759509e-05,0.000000e+00,1.081347e-04
25.8317,3.181424e-04,5.833390e-05,0.000000e+00,1.090117e-04
25.9491,3.197831e-04,5.908448e-05,0.000000e+00,1.099012e-04
26.0665,3.214427e-04,5.984705e-05,0.000000e+00,1.108034e-04
26.1840,3.231208e-04,6.062173e-05,0.000000e+00,1.117184e-04
26.3014,3.248180e-04,6.140884e-05,0.000000e+00,1.126466e-04
26.4188,3.265340e-04,6.220844e-05,0.000000e+00,1.135879e-04
26.5362,3.282689e-04,6.302079e-05,0.000000e+00,1.145426e-04
26.6536,3.300225e-04,6.384599e-05,0.000000e+00,1.155106e-04
26.7710,3.317954e-04,6.468433e-05,0.000000e+00,1.164924e-04
26.8885,3.335873e-04,6.553594e-05,0.000000e+00,1.174880e-04
27.0059,3.353977e-04,6.640088e-05,0.000000e+00,1.184972e-04
27.1233,3.372268e-04,6.727938e-05,0.000000e+00,1.195204e-04
27.2407,3.390753e-04,6.817179e-05,0.000000e+00,1.205579e-04
27.3581,3.409424e-04,6.907808e-05,0.000000e+00,1.216095e-04
27.4755,3.428281e-04,6.999837e-05,0.000000e+00,1.226754e-04
27.5930,3.447314e-04,7.093253e-05,0.000000e+00,1.237553e-04
27.7104,3.466525e-04,7.188060e-05,0.000000e+00,1.248491e-04
27.8278,3.485897e-04,7.284211e-05,0.000000e+00,1.259563e-04
27.9452,3.505406e-04,7.381586e-05,0.000000e+00,1.270755e-04
28.0626,3.525109e-04,7.480510e-05,0.000000e+00,1.282102e-04
28.1800,3.545019e-04,7.581063e-05,0.000000e+00,1.293613e-04
28.2975,3.565142e-04,7.683279e-05,0.000000e+00,1.305291e-04
28.4149,3.585476e-04,7.787196e-05,0.000000e+00,1.317140e-04
28.5323,3.606021e-04,7.892849e-05,0.000000e+00,1.329162e-04
28.6497,3.626778e-04,8.000244e-05,0.000000e+00,1.341357e-04
28.7671,3.647744e-04,8.109403e-05,0.000000e+00,1.353727e-04
28.8845,3.668926e-04,8.220397e-05,0.000000e+00,1.366278e-04
29.0020,3.690319e-04,8.333226e-05,0.000000e+00,1.379010e-04
29.1194,3.711918e-04,8.447891e-05,0.000000e+00,1.391921e-04
29.2368,3.733732e-04,8.564487e-05,0.000000e+00,1.405021e-04
29.3542,3.755756e-04,8.682996e-05,0.000000e+00,1.418307e-04
29.4716,3.777985e-04,8.803436e-05,0.000000e+00,1.431781e-04
29.5890,3.800427e-04,8.925894e-05,0.000000e+00,1.445448e-04
29.7065,3.823068e-04,9.050322e-05,0.000000e+00,1.459305e-04
29.8239,3.845920e-04,9.176813e-05,0.000000e+00,1.473359e-04
29.9413,3.868968e-04,9.305346e-05,0.000000e+00,1.487607e-04
30.0587,3.892215e-04,9.435962e-05,0.000000e+00,1.502053e-04
30.1761,3.915658e-04,9.568698e-05,0.000000e+00,1.516697e-04
30.2935,3.939291e-04,9.703546e-05,0.000000e+00,1.531540e-04
30.4110,3.963108e-04,9.840553e-05,0.000000e+00,1.546583e-04
30.5284,3.987101e-04,9.979703e-05,2.416063e-07,1.561823e-04
30.6458,4.011265e-04,1.012104e-04,5.095822e-07,1.577263e-04
30.7632,4.035581e-04,1.026451e-04,7.876594e-07,1.592896e-04
30.8806,4.060039e-04,1.041014e-04,1.076214e-06,1.608721e-04
30.9980,4.084618e-04,1.055790e-04,1.375640e-06,1.624731e-04
31.1155,4.109283e-04,1.070768e-04,1.686107e-06,1.640912e-04
31.2329,4.133971e-04,1.085935e-04,2.008261e-06,1.657241e-04
31.3503,4.158462e-04,1.101218e-04,2.342075e-06,1.673621e-04
31.4677,4.182994e-04,1.116699e-04,2.688064e-06,1.690159e-04
31.5851,4.207808e-04,1.132461e-04,3.046791e-06,1.706967e-04
31.7025,4.232899e-04,1.148506e-04,3.418529e-06,1.724046e-04
31.8200,4.258272e-04,1.164841e-04,3.803851e-06,1.741403e-04
31.9374,4.283924e-04,1.181473e-04,4.203350e-06,1.759041e-04
32.0548,4.309864e-04,1.198406e-04,4.617325e-06,1.776966e-04
32.1722,4.336089e-04,1.215644e-04,5.046289e-06,1.795181e-04
32.2896,4.362605e-04,1.233198e-04,5.490954e-06,1.813695e-04
32.4070,4.389410e-04,1.251071e-04,5.951797e-06,1.832510e-04
32.5245,4.416505e-04,1.269269e-04,6.429320e-06,1.851632e-04
32.6419,4.443893e-04,1.287797e-04,6.924096e-06,1.871064e-04
32.7593,4.471576e-04,1.306662e-04,7.436760e-06,1.890812e-04
32.8767,4.499551e-04,1.325870e-04,7.967976e-06,1.910882e-04
32.9941,4.527826e-04,1.345430e-04,8.518444e-06,1.931281e-04
33.1115,4.556397e-04,1.365345e-04,9.088725e-06,1.952011e-04
33.2290,4.585262e-04,1.385621e-04,9.679492e-06,1.973076e-04
33.3464,4.614429e-04,1.406265e-04,1.029145e-05,1.994485e-04
33.4638,4.643890e-04,1.427282e-04,1.092532e-05,2.016239e-04
33.5812,4.673649e-04,1.448679e-04,1.158184e-05,2.038343e-04
33.6986,4.703702e-04,1.470460e-04,1.226172e-05,2.060802e-04
33.8160,4.734048e-04,1.492630e-04,1.296571e-05,2.083619e-04
33.9335,4.764680e-04,1.515193e-04,1.369457e-05,2.106796e-04
34.0509,4.795594e-04,1.538150e-04,1.444895e-05,2.130332e-04
34.1683,4.826776e-04,1.561500e-04,1.522947e-05,2.154226e-04
34.2857,4.858211e-04,1.585236e-04,1.603648e-05,2.178468e-04
34.4031,4.889820e-04,1.609306e-04,1.686900e-05,2.203006e-04
34.5205,4.921710e-04,1.633794e-04,1.773034e-05,2.227923e-04
34.6380,4.953941e-04,1.658756e-04,1.862321e-05,2.253273e-04
34.7554,4.986505e-04,1.684196e-04,1.954866e-05,2.279060e-04
34.8728,5.019407e-04,1.710125e-04,2.050778e-05,2.305293e-04
34.9902,5.052649e-04,1.736552e-04,2.150178e-05,2.331979e-04
35.1076,5.086224e-04,1.763484e-04,2.253195e-05,2.359124e-04
35.2250,5.120139e-04,1.790938e-04,2.360004e-05,2.386741e-04
35.3425,5.154384e-04,1.818918e-04,2.470708e-05,2.414833e-04
35.4599,5.188957e-04,1.847432e-04,2.585443e-05,2.443406e-04
35.5773,5.223861e-04,1.876495e-04,2.704381e-05,2.472471e-04
35.6947,5.259086e-04,1.906113e-04,2.827681e-05,2.502034e-04
35.8121,5.294626e-04,1.936291e-04,2.955462e-05,2.532097e-04
35.9295,5.330478e-04,1.967046e-04,3.087946e-05,2.562673e-04
36.0470,5.366632e-04,1.998380e-04,3.225258e-05,2.593761e-04
36.1644,5.403072e-04,2.030301e-04,3.367589e-05,2.625366e-04
36.2818,5.439778e-04,2.062813e-04,3.515129e-05,2.657489e-04
36.3992,5.476741e-04,2.095921e-04,3.668030e-05,2.690130e-04
36.5166,5.513927e-04,2.129628e-04,3.826520e-05,2.723289e-04
36.6341,5.551300e-04,2.163926e-04,3.990748e-05,2.756950e-04
36.7515,5.588807e-04,2.198807e-04,4.160909e-05,2.791101e-04
36.8689,5.626352e-04,2.234244e-04,4.337194e-05,2.825701e-04
36.9863,5.663746e-04,2.270162e-04,4.519661e-05,2.860657e-04
37.1037,5.700425e-04,2.306334e-04,4.708292e-05,2.895687e-04
37.2211,5.737371e-04,2.343186e-04,4.903770e-05,2.931310e-04
37.3386,5.774874e-04,2.380857e-04,5.106496e-05,2.967690e-04
37.4560,5.812943e-04,2.419372e-04,5.316799e-05,3.004849e-04
37.5734,5.851594e-04,2.458758e-04,5.535003e-05,3.042810e-04
37.6908,5.890845e-04,2.499035e-04,5.761371e-05,3.081596e-04
37.8082,5.930703e-04,2.540229e-04,5.996251e-05,3.121227e-04
37.9256,5.971193e-04,2.582369e-04,6.239994e-05,3.161735e-04
38.0431,6.012317e-04,2.625479e-04,6.492964e-05,3.203137e-04
38.1605,6.054119e-04,2.669599e-04,6.755558e-05,3.245475e-04
38.2779,6.096595e-04,2.714749e-04,7.028164e-05,3.288765e-04
38.3953,6.139783e-04,2.760969e-04,7.311195e-05,3.333047e-04
38.5127,6.183699e-04,2.808290e-04,7.605084e-05,3.378349e-04
38.6301,6.228369e-04,2.856748e-04,7.910300e-05,3.424707e-04
38.7476,6.273834e-04,2.906387e-04,8.227317e-05,3.472164e-04
38.8650,6.320125e-04,2.957252e-04,8.556694e-05,3.520762e-04
38.9824,6.367292e-04,3.009393e-04,8.898968e-05,3.570553e-04
39.0998,6.415382e-04,3.062864e-04,9.254732e-05,3.621588e-04
39.2172,6.464491e-04,3.117743e-04,9.624643e-05,3.673948e-04
39.3346,6.514745e-04,3.174134e-04,1.000954e-04,3.727742e-04
39.4521,6.566592e-04,3.232336e-04,1.041096e-04,3.783289e-04
39.5695,6.619530e-04,3.292083e-04,1.082852e-04,3.840290e-04
39.6869,6.673205e-04,3.353190e-04,1.126205e-04,3.898535e-04
39.8043,6.727641e-04,3.415698e-04,1.171221e-04,3.958064e-04
39.9217,6.782859e-04,3.479640e-04,1.217962e-04,4.018908e-04
